cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,date
34,9.27,1.44,0.264,2013-11-21
95,4.77,0.94,0.262,2013-11-22
45,7.67,1.22,0.26,2013-11-23
55,7.87,1.29,0.258,2013-11-24
99,3.91,0.81,0.263,2013-11-25
97,4.37,0.75,0.386,2013-11-26
52,5.56,0.82,0.376,2013-11-27
98,1.64,0.33,0.377,2013-11-28
91,5.98,0.77,0.385,2013-11-29
40,9.14,1.14,0.371,2013-11-30
91,6.99,0.99,0.361,2013-12-01
92,3.99,0.67,0.362,2013-12-02
75,4.06,0.55,0.383,2013-12-03
1,8.99,1.02,0.365,2013-12-04
10,8.61,1.01,0.359,2013-12-05
26,8.65,1.12,0.355,2013-12-06
78,2.37,0.41,0.351,2013-12-07
87,5.52,0.53,0.347,2013-12-08
74,8.48,0.82,0.342,2013-12-09
87,4.01,0.39,0.339,2013-12-10
60,6.74,0.46,0.337,2013-12-11
63,7.6,0.51,0.334,2013-12-12
39,8.7,0.67,0.332,2013-12-13
35,7.93,0.72,0.33,2013-12-14
66,4.06,0.5,0.328,2013-12-15
24,7.37,0.74,0.327,2013-12-16
38,7.47,0.74,0.325,2013-12-17
2,8.76,0.83,0.323,2013-12-18
3,8.64,0.84,0.322,2013-12-19
4,8.75,0.87,0.321,2013-12-20
7,8.75,0.9,0.319,2013-12-21
1,8.86,0.92,0.319,2013-12-22
14,8.97,0.96,0.32,2013-12-23
58,8.95,0.99,0.32,2013-12-24
97,6.03,0.79,0.325,2013-12-25
73,8.11,0.99,0.335,2013-12-26
37,8.55,1.08,0.346,2013-12-27
94,7.28,1.06,0.36,2013-12-28
94,7.35,0.99,0.375,2013-12-29
99,4.71,0.55,0.381,2013-12-30
99,3.41,0.45,0.39,2013-12-31
59,7.78,0.88,0.395,2014-01-01
90,6.96,0.86,0.398,2014-01-02
73,5.78,0.74,0.397,2014-01-03
47,6.56,0.84,0.396,2014-01-04
32,8.39,1.02,0.395,2014-01-05
90,7.43,0.95,0.391,2014-01-06
4,8.85,1.13,0.387,2014-01-07
0,8.66,1.09,0.383,2014-01-08
5,8.99,1.13,0.379,2014-01-09
35,9.03,1.27,0.375,2014-01-10
62,4.44,0.75,0.371,2014-01-11
53,8.33,1.07,0.367,2014-01-12
57,6.26,0.73,0.375,2014-01-13
65,8.0,1.06,0.37,2014-01-14
44,9.67,1.34,0.364,2014-01-15
99,6.53,0.99,0.36,2014-01-16
61,4.86,0.68,0.363,2014-01-17
55,9.42,1.28,0.36,2014-01-18
76,6.98,1.02,0.355,2014-01-19
43,7.7,1.11,0.352,2014-01-20
57,9.7,1.41,0.348,2014-01-21
52,7.59,1.01,0.367,2014-01-22
93,3.49,0.55,0.407,2014-01-23
80,7.44,0.99,0.407,2014-01-24
82,5.61,0.77,0.398,2014-01-25
95,7.08,1.05,0.39,2014-01-26
86,8.19,1.14,0.391,2014-01-27
99,4.67,0.64,0.391,2014-01-28
92,4.98,0.79,0.394,2014-01-29
91,4.14,0.54,0.4,2014-01-30
90,6.85,0.79,0.387,2014-01-31
36,11.23,1.3,0.381,2014-02-01
0,12.26,1.65,0.377,2014-02-02
0,12.61,1.61,0.373,2014-02-03
6,10.8,1.3,0.369,2014-02-04
2,12.28,1.56,0.366,2014-02-05
1,12.28,1.55,0.362,2014-02-06
16,12.72,1.69,0.359,2014-02-07
35,12.54,1.79,0.356,2014-02-08
77,5.93,0.95,0.357,2014-02-09
89,6.42,0.93,0.392,2014-02-10
13,12.97,1.88,0.393,2014-02-11
9,13.12,2.05,0.379,2014-02-12
