epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,9923.5,1.2633,0.90264,1.26126,0.78771,0.70781,0.78027,0.4493,1.44928,0.93393,1.29793,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
52,7399.94,1.27128,0.90516,1.26168,0.77465,0.72089,0.7852,0.45072,1.44372,0.95316,1.29975,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
53,10144.6,1.26016,0.89783,1.26096,0.79021,0.70681,0.78084,0.44954,1.44845,0.93331,1.2982,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
53,7602.62,1.26565,0.89342,1.25716,0.77714,0.72143,0.78465,0.45053,1.44286,0.94964,1.29938,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
54,10369.9,1.25572,0.89703,1.25867,0.7856,0.70998,0.78133,0.44993,1.44716,0.93234,1.29902,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207
54,7804.18,1.25434,0.88342,1.25217,0.77337,0.724,0.78452,0.45096,1.44203,0.94561,1.29901,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207
55,10584.9,1.25179,0.87841,1.25146,0.78433,0.71591,0.78292,0.4511,1.44854,0.9293,1.29985,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
55,8013.92,1.25803,0.887,1.2558,0.76734,0.72879,0.78516,0.45041,1.44146,0.94067,1.29909,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
56,10801.9,1.23885,0.86741,1.2457,0.78852,0.71129,0.78235,0.45127,1.44909,0.9274,1.30087,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961
56,8217.57,1.24632,0.87161,1.24776,0.77108,0.72629,0.78522,0.45136,1.44367,0.93597,1.30035,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961
